"dbms","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","REFERENCED_TABLE_SCHEMA","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"mysql","cs_project_db","account","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","categories","category","1","varchar","255","PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","coupons","coupon_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","coupons","coupon_name","2","varchar","255","UNIQUE",NULL,NULL,NULL
"mysql","cs_project_db","coupon_usage","coupon_name","1","varchar","255","UNIQUE",NULL,NULL,NULL
"mysql","cs_project_db","coupon_usage","user_id","2","int",NULL,"FOREIGN KEY","cs_project_db","users","id"
"mysql","cs_project_db","coupon_usage","coupon_name","1","varchar","255","FOREIGN KEY","cs_project_db","coupons","coupon_name"
"mysql","cs_project_db","districts","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","freight","province_id","1","int",NULL,"UNIQUE",NULL,NULL,NULL
"mysql","cs_project_db","geographies","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","log_materials","material_id","1","int",NULL,"FOREIGN KEY","cs_project_db","materials","material_id"
"mysql","cs_project_db","log_products","product_id","1","int",NULL,"FOREIGN KEY","cs_project_db","products","product_id"
"mysql","cs_project_db","materials","material_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","orders","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","cs_project_db","orders","payment_method","4","varchar","100","FOREIGN KEY","cs_project_db","payment_method","method"
"mysql","cs_project_db","orders","user_id","2","int",NULL,"FOREIGN KEY","cs_project_db","users","id"
"mysql","cs_project_db","order_products","product_id","2","int",NULL,"FOREIGN KEY","cs_project_db","products","product_id"
"mysql","cs_project_db","order_products","order_id","1","int",NULL,"FOREIGN KEY","cs_project_db","orders","id"
"mysql","cs_project_db","payments","order_id","1","int",NULL,"FOREIGN KEY","cs_project_db","orders","id"
